,Country,Year,Region,Democracy Index,energy_cons,rail_cargo,urban_per,service_per,GDP
163,North Macedonia,2017,Central and Eastern Europe,5.57,6.222653,277.0,57.748,54.5391890711302,11307067000.7188
164,Poland,2017,Central and Eastern Europe,6.67,147.072108,54797.0,60.105,55.9066146054507,524641206562.004
165,Romania,2017,Central and Eastern Europe,6.44,49.091003,13782.0,53.936,56.9099211772579,210147181055.277
166,Russia,2017,Central and Eastern Europe,3.17,920.425948,2491875.9,74.292,56.032768470393,1574199355092.71
167,Serbia,2017,Central and Eastern Europe,6.41,29.380551,3288.0,55.942,50.9309854982256,44179075778.9267
168,Slovakia,2017,Central and Eastern Europe,7.16,27.15571,8486.0,53.751,58.7828762288151,95649966260.981
169,Slovenia,2017,Central and Eastern Europe,7.5,13.656989,5128.0,54.273,56.7017943803145,48589100043.0958
170,Tajikistan,2017,Central and Eastern Europe,1.93,13.68914,165.0,26.982,38.8761886138283,7536403146.68377
171,Turkmenistan,2017,Central and Eastern Europe,1.72,15.092114,13327.0,51.153,41.8383028732428,37926285714.2857
172,Ukraine,2017,Central and Eastern Europe,5.69,123.70406,191914.1,69.246,50.9587159917712,112090503817.399
173,Uzbekistan,2017,Central and Eastern Europe,1.95,47.59489,22940.0,50.55,36.8221241022285,62081322741.1228
174,Argentina,2017,Latin America and the Caribbean,6.96,125.838716,8377.0,91.749,57.3499373815692,643628396190.388
175,Chile,2017,Latin America and the Caribbean,7.84,73.04019,3760.2204401392,87.49,58.2768071532191,276364936832.331
176,Mexico,2017,Latin America and the Caribbean,6.41,265.574923,86316.0,79.867,60.1465918626474,1158912015259.01
177,Australia,2017,Asia and Australasia,9.09,238.498993,431307.31114667,85.904,67.0055855376421,1326467487376.42
178,China,2017,Asia and Australasia,3.1,6057.175784,2696220.0,57.96,52.6847365342399,12310491176727.3
179,India,2017,Asia and Australasia,7.23,1228.624117295,620175.0,33.6,47.6708899684162,2651474263257.15
180,Indonesia,2017,Asia and Australasia,6.39,232.14794,13396.0,54.659,43.6140553296427,1015618744168.15
181,Japan,2017,Asia and Australasia,7.88,965.224223,21663.0,91.535,69.5357755666973,4930837369151.42
182,Malaysia,2017,Asia and Australasia,6.54,143.768566,1234.0,75.447,51.8820155184897,319109103242.055
183,Mongolia,2017,Asia and Australasia,6.5,6.257344,13493.0,68.363,42.3762941538337,11480847740.0839
184,New Zealand,2017,Asia and Australasia,9.26,40.366810443,3618.534146,86.466,65.125950692961,206556258844.567
185,Pakistan,2017,Asia and Australasia,4.26,111.02,5031.0,36.442,53.249254299638,339205536454.445
186,South Korea,2017,Asia and Australasia,8.0,520.97747,8229.0,81.503,54.8477903393924,1623901496835.79
187,Vietnam,2017,Asia and Australasia,3.08,176.08334,3574.0,35.213,42.5807189654118,281353626107.245
188,Algeria,2017,Middle East and North Africa,3.56,60.28346,1009.0,72.052,47.6352837566253,170096989042.831
189,Iran,2017,Middle East and North Africa,2.45,268.628759,30299.0,74.394,50.6626622977994,486630147094.69
190,Israel,2017,Middle East and North Africa,7.79,59.572281,1380.5,92.336,70.5551971150267,358245427458.541
191,Morocco,2017,Middle East and North Africa,4.87,31.2688,3896.0,61.908,53.0987601129781,118540574727.552
192,Tunisia,2017,Middle East and North Africa,6.32,15.63152,679.0,68.642,60.267825294207,42163530590.9462
193,Cameroon,2017,Sub-Saharan Africa,3.61,6.061043,841.569,55.777,50.3626877993823,36098547058.7877
194,Gabon,2017,Sub-Saharan Africa,3.61,2.212454,3276.0,88.976,42.6496912552085,14929487495.759
195,Zambia,2017,Sub-Saharan Africa,5.68,12.502605,297.0,42.976,52.0938849633709,25873601260.8353
196,Canada,2016,North America,9.15,548.451276,396806.0,81.3,67.9588532993538,1527994741907.43
197,United States,2016,North America,7.98,3921.11069944,2314693.0,81.862,77.4396929034265,18695110842000.0
198,Austria,2016,Western Europe,8.41,65.552597,21361.0,57.905,62.6034907780993,395837353031.51
199,Denmark,2016,Western Europe,9.2,33.381757,2575.0,87.642,65.1493643146997,313115929314.339
200,Finland,2016,Western Europe,9.03,83.376716,9455.0,85.275,60.343052069254,240771351298.84
201,France,2016,Western Europe,7.92,457.025221,34699.8,79.917,70.505418442713,2472964344587.23
202,Germany,2016,Western Europe,8.63,539.79954,128866.0,77.224,61.770609364732,3469853463945.63
203,Greece,2016,Western Europe,7.23,55.27019,254.0,78.387,69.1742353624456,193148146586.938
204,Ireland,2016,Western Europe,9.15,26.412548,101.0,62.737,55.0036132521084,299091127524.513
205,Italy,2016,Western Europe,7.98,298.250334,22712.0,69.855,66.6499821793636,1877071687633.83
206,Luxembourg,2016,Western Europe,8.81,6.447818,201.499302247,90.46,79.1113386071195,62216885435.9505
207,Netherlands,2016,Western Europe,8.8,111.029976,6641.0,90.635,70.2177071083397,784060430240.101
208,Norway,2016,Western Europe,9.93,121.910002,3823.0,81.485,57.9316984565321,370956547619.048
209,Portugal,2016,Western Europe,7.86,47.819042,2622.0,64.086,65.4706663840203,206426152308.937
210,Spain,2016,Western Europe,8.3,241.446785,10644.0,79.84,67.9270831463901,1233554967011.71
211,Sweden,2016,Western Europe,9.39,132.513653,21406.0,86.852,65.4676263881273,515654671469.547
212,Switzerland,2016,Western Europe,9.09,56.112644,12447.0,73.739,72.2578917141274,687895460902.713
213,United Kingdom,2016,Western Europe,8.36,317.459384217,17053.216554029,82.886,71.0727541072319,2699659680997.2
214,Albania,2016,Central and Eastern Europe,5.91,7.50528,8.8,58.421,46.697168516495,11861199830.8396
