,economy,time,NY.GDP.MKTP.CD
446,BRN,YR2018,13567164444.9707
447,BRN,YR2019,13469240162.5496
448,BTN,YR2006,874989734.663935
449,BTN,YR2007,1168307574.79508
450,BTN,YR2008,1227809261.04208
451,BTN,YR2009,1234015141.60305
452,BTN,YR2010,1547990907.46305
453,BTN,YR2011,1777102585.93229
454,BTN,YR2012,1781280170.44296
455,BTN,YR2013,1756214303.92609
456,BTN,YR2014,1907090361.57887
457,BTN,YR2015,2003596824.31099
458,BTN,YR2016,2158971717.50418
459,BTN,YR2017,2450366107.88229
460,BTN,YR2018,2446867582.27133
461,BTN,YR2019,2535655609.45889
462,BWA,YR2006,9919158482.41085
463,BWA,YR2007,10567270655.5027
464,BWA,YR2008,10730828592.459
465,BWA,YR2009,10118459713.7024
466,BWA,YR2010,12637273429.1339
467,BWA,YR2011,15110642875.5965
468,BWA,YR2012,13907464500.1489
469,BWA,YR2013,14271738366.7917
470,BWA,YR2014,15470087926.2484
471,BWA,YR2015,13530749289.7861
472,BWA,YR2016,15082636722.856
473,BWA,YR2017,16105156375.5848
474,BWA,YR2018,17031943186.1353
475,BWA,YR2019,16725908661.9419
476,CAF,YR2006,1461859762.62791
477,CAF,YR2007,1699811293.2576
478,CAF,YR2008,1993407886.56402
479,CAF,YR2009,2067381663.75378
480,CAF,YR2010,2142591539.43526
481,CAF,YR2011,2437982706.57499
482,CAF,YR2012,2510126509.99501
483,CAF,YR2013,1691544110.6915
484,CAF,YR2014,1894813389.88175
485,CAF,YR2015,1695825714.2427
486,CAF,YR2016,1825018144.46187
487,CAF,YR2017,2072349974.15272
488,CAF,YR2018,2220979144.52008
489,CAF,YR2019,2221301350.75537
490,CAN,YR2006,1319264809590.97
491,CAN,YR2007,1468820407783.26
492,CAN,YR2008,1552989690721.65
493,CAN,YR2009,1374625142157.29
494,CAN,YR2010,1617343367486.26
495,CAN,YR2011,1793326630174.52
496,CAN,YR2012,1828366481521.6
497,CAN,YR2013,1846597421834.98
498,CAN,YR2014,1805749878439.94
499,CAN,YR2015,1556508816217.14
500,CAN,YR2016,1527994741907.43
501,CAN,YR2017,1649265644244.09
502,CAN,YR2018,1725297938435.76
503,CAN,YR2019,1743725183672.52
504,CEB,YR2006,1001568223853.49
505,CEB,YR2007,1265418819111.26
506,CEB,YR2008,1530535154238.88
