economy,time,IS.RRS.GOOD.MT.K6
HUN,YR2014,10158.0
HUN,YR2015,10009.615
HUN,YR2016,10527.534
HUN,YR2017,11344.565
HUN,YR2018,10584.08
HUN,YR2019,10624.909
IBD,YR2006,4390.0
IBD,YR2007,5837.0
IBD,YR2008,5452.0
IBD,YR2010,3901.0
IBD,YR2011,6015.4
IBD,YR2014,6377.2495
IBD,YR2015,5479.2605
IBD,YR2016,4634.3779585
IBD,YR2017,4282.0
IDB,YR2006,3521.692899
IDB,YR2007,1580.0
IDN,YR2006,4390.0
IDN,YR2007,4405.0
IDN,YR2008,5452.0
IDN,YR2010,7166.0
IDN,YR2014,9884.0
IDN,YR2015,10057.0
IDN,YR2016,11120.0
IDN,YR2017,13396.0
IDN,YR2018,15091.0
IDN,YR2019,15573.0
IND,YR2006,439596.0
IND,YR2007,480993.0
IND,YR2008,521371.0
IND,YR2009,551448.0
IND,YR2010,600548.0
IND,YR2011,625723.0
IND,YR2012,667607.0
IND,YR2013,649645.0
IND,YR2014,665810.0
IND,YR2015,681696.0
IND,YR2016,654481.0
IND,YR2017,620175.0
IND,YR2018,692916.0
IND,YR2019,738523.0
IRL,YR2006,207.0
IRL,YR2007,129.0
IRL,YR2008,103.0
IRL,YR2009,79.0
IRL,YR2010,92.0
IRL,YR2011,105.0
IRL,YR2012,91.0
IRL,YR2013,99.0
IRL,YR2014,100.0
IRL,YR2015,96.0
IRL,YR2016,101.0
IRL,YR2017,100.0
IRL,YR2018,89.0
IRL,YR2019,72.0
IRN,YR2006,20542.0
IRN,YR2007,21729.0
IRN,YR2008,22140.0
IRN,YR2009,20247.0
IRN,YR2010,21779.374
IRN,YR2011,21008.0
IRN,YR2012,22604.0
IRN,YR2013,22400.0
IRN,YR2014,24461.0
IRN,YR2015,25014.0
IRN,YR2016,27243.0
IRN,YR2017,30299.0
IRN,YR2018,34859.0
IRN,YR2019,33645.702256
IRQ,YR2006,64.0
IRQ,YR2008,120.634
IRQ,YR2010,249.463
ISR,YR2006,1122.5
ISR,YR2007,1176.7
ISR,YR2008,1056.0
ISR,YR2009,799.2
ISR,YR2010,1062.0
ISR,YR2011,1099.2
ISR,YR2012,1011.2
ISR,YR2013,1058.0
ISR,YR2014,1165.4
ISR,YR2015,1155.0
ISR,YR2016,1404.4
ISR,YR2017,1380.5
ISR,YR2018,1235.1
ISR,YR2019,1241.5
ITA,YR2006,22907.0
ITA,YR2007,23289.0
ITA,YR2008,21981.0
ITA,YR2009,17791.0
ITA,YR2010,18616.0
ITA,YR2011,19787.0
ITA,YR2012,20244.0
ITA,YR2013,19037.0
ITA,YR2014,20157.0
ITA,YR2015,20781.0
ITA,YR2016,22712.0
ITA,YR2017,22335.0
ITA,YR2018,22070.0
ITA,YR2019,21309.0
JOR,YR2007,433.0
JOR,YR2008,449.0
JOR,YR2009,353.0
JOR,YR2010,344.1
JPN,YR2006,23192.0
JPN,YR2007,23334.0
JPN,YR2008,22256.0
JPN,YR2009,20562.0
JPN,YR2010,20398.0
JPN,YR2011,19998.0
JPN,YR2012,20471.0
JPN,YR2013,21071.0
JPN,YR2014,21029.0
JPN,YR2015,21519.0
JPN,YR2016,21265.0
JPN,YR2017,21663.0
JPN,YR2018,19369.0
JPN,YR2019,19993.0
KAZ,YR2007,200558.2
KAZ,YR2008,215110.6
KAZ,YR2009,194918.6
KAZ,YR2010,210713.3
KAZ,YR2011,219739.8
KAZ,YR2012,232939.6
KAZ,YR2013,229142.2
KAZ,YR2014,214110.9
KAZ,YR2015,235580.4
KAZ,YR2016,236971.7
KAZ,YR2017,262097.5
KAZ,YR2018,283117.8
KAZ,YR2019,289174.0
KGZ,YR2006,751.8
KGZ,YR2007,848.9
KGZ,YR2008,945.5
KGZ,YR2009,744.5
KGZ,YR2010,737.7
KGZ,YR2011,798.3
KGZ,YR2012,922.7
KGZ,YR2013,1002.0
KGZ,YR2014,1010.0
KGZ,YR2015,918.0
KGZ,YR2016,807.0
KGZ,YR2017,935.0
KGZ,YR2018,949.0
KGZ,YR2019,870.4
KOR,YR2006,10554.0
KOR,YR2007,10927.0
KOR,YR2008,11566.0
KOR,YR2009,9273.0
KOR,YR2010,9452.0
KOR,YR2011,9996.0
KOR,YR2012,10271.0
KOR,YR2013,10459.0
KOR,YR2014,9564.0
KOR,YR2015,9479.0
KOR,YR2016,8414.0
KOR,YR2017,8229.0
KOR,YR2018,7878.0
KOR,YR2019,7357.0
LIE,YR2007,18.0
LIE,YR2008,17.0
LIE,YR2009,10.0
LIE,YR2010,11.0
LIE,YR2011,10.0
LIE,YR2012,10.0
LIE,YR2013,9.0
LKA,YR2007,135.0
LKA,YR2011,153.9
LKA,YR2012,142.4
LKA,YR2013,133.0
LKA,YR2015,127.39
LTE,YR2006,5744.0
LTE,YR2007,5194.0
LTE,YR2008,5451.0
LTE,YR2009,5433.0
LTE,YR2010,4736.5
LTE,YR2011,5047.349612
LTE,YR2012,4609.3693735
LTE,YR2013,4351.731506
LTE,YR2014,4251.9
LTE,YR2015,4105.5623085
LTE,YR2016,3424.0
LTE,YR2017,3574.0
LTE,YR2018,3186.0
LTE,YR2019,3007.41987616355
LTU,YR2006,12896.0
LTU,YR2007,14373.0
LTU,YR2008,14748.0
LTU,YR2009,11888.0
LTU,YR2010,13431.0
LTU,YR2011,15088.0
LTU,YR2012,14172.0
LTU,YR2013,13344.0
LTU,YR2014,14307.0
LTU,YR2015,14036.0
LTU,YR2016,13790.0
LTU,YR2017,15414.0
LTU,YR2018,16885.0
LTU,YR2019,16181.0
LUX,YR2006,441.0
LUX,YR2007,287.0
LUX,YR2008,280.0
LUX,YR2009,200.0
LUX,YR2010,309.0
LUX,YR2011,270.0
LUX,YR2012,231.0
LUX,YR2013,218.0
LUX,YR2014,208.0
LUX,YR2015,206.945675
LUX,YR2016,201.499302247
LUX,YR2017,213.657253404
LUX,YR2018,223.158399212
LUX,YR2019,191.152773984
LVA,YR2006,16831.0
LVA,YR2007,18313.0
LVA,YR2008,19581.0
LVA,YR2009,18725.0
LVA,YR2010,17179.0
LVA,YR2011,21410.0
LVA,YR2012,21867.0
LVA,YR2013,19532.0
LVA,YR2014,19441.0
LVA,YR2015,18906.0
LVA,YR2016,15873.0
LVA,YR2017,15014.0
LVA,YR2018,17859.0
LVA,YR2019,15019.0
MAR,YR2006,5744.0
MAR,YR2007,5837.0
MAR,YR2008,4959.0
MAR,YR2009,4111.0
MAR,YR2010,5572.0
MAR,YR2011,5976.0
MAR,YR2014,5383.499
MAR,YR2015,4748.521
MAR,YR2016,3831.0
MAR,YR2017,3896.0
MAR,YR2018,3485.0
MAR,YR2019,3125.0
MDA,YR2006,3656.0
MDA,YR2007,3092.0
MDA,YR2008,2873.0
MDA,YR2009,1058.0
MDA,YR2010,959.0
MDA,YR2011,1196.0
MDA,YR2012,960.0
MDA,YR2013,1227.0
MDA,YR2014,1182.0
MDA,YR2015,963.0
MDA,YR2016,790.0
MDA,YR2017,987.0
MDA,YR2018,1012.0
MDA,YR2019,940.3
MDG,YR2007,1.0
MDG,YR2009,131.9
MDG,YR2014,122.335
MEA,YR2006,2174.0
MEA,YR2008,1910.5
MEA,YR2010,1722.304
MEX,YR2006,66163.0
MEX,YR2007,77169.0
MEX,YR2008,74582.0
MEX,YR2009,69185.0
MEX,YR2010,78770.0
MEX,YR2011,79728.0
MEX,YR2012,79353.0
MEX,YR2013,77717.0
MEX,YR2014,79855.0
MEX,YR2015,82712.0
MEX,YR2016,84683.0
MEX,YR2017,86316.0
MEX,YR2018,87924.0
MEX,YR2019,89049.0
MIC,YR2006,3922.0
MIC,YR2007,4478.0
MKD,YR2006,614.0
MKD,YR2007,778.0
MKD,YR2008,743.0
MKD,YR2009,497.0
MKD,YR2010,525.0
MKD,YR2011,479.0
MKD,YR2012,423.0
MKD,YR2013,421.0
MKD,YR2014,411.0
MKD,YR2015,278.0
MKD,YR2016,222.0
MKD,YR2017,277.0
MKD,YR2018,305.0
MKD,YR2019,350.0
MNA,YR2006,2458.0
MNA,YR2007,2374.0
MNA,YR2008,2221.7365
MNA,YR2010,1808.3085
MNE,YR2006,133.0
MNE,YR2007,183.0
MNE,YR2008,185.9
MNE,YR2009,104.0
MNE,YR2010,150.0
MNE,YR2011,136.0
MNE,YR2012,73.0
MNE,YR2013,104.7
MNE,YR2014,94.4
MNE,YR2015,111.9
MNE,YR2016,112.5
MNE,YR2017,168.9
MNE,YR2018,112.856
MNE,YR2019,130.33
MNG,YR2006,9218.5
MNG,YR2007,8361.0
MNG,YR2008,8261.0
MNG,YR2009,7852.0
